1	8	9	13	17
1	8	9	13	17
1	8	9	13	17
1	8	9	13	17
2	7	9	13	17
2	8	10	13	17
2	6	9	13	17
2	8	9	13	17
2	8	9	13	17
2	8	9	13	17
2	8	10	13	17
2	8	9	13	17
2	8	10	13	17
2	8	10	13	17
2	8	10	13	17
2	8	9	13	17
2	8	10	13	17
2	8	10	13	17
2	8	10	13	17
2	8	9	13	17
2	7	11	14	18
2	8	10	15	19
2	6	9	13	17
2	8	10	13	17
2	8	10	13	17
2	8	9	13	17
2	8	9	13	17
2	6	9	13	17
2	8	10	13	17
2	6	10	14	17
2	7	9	14	18
2	7	11	14	18
2	6	9	13	17
2	8	10	13	17
2	6	10	13	17
2	6	9	13	17
2	6	10	13	17
2	6	10	13	17
2	6	10	13	17
2	8	10	14	17
2	8	11	14	18
2	6	10	13	17
2	6	10	13	17
2	8	9	13	17
2	8	9	14	18
2	6	10	13	17
2	6	10	13	17
2	8	10	13	17
2	6	10	13	17
2	6	9	13	17
2	8	10	13	17
2	8	10	15	18
3	6	9	13	17
3	6	9	13	17
3	7	9	14	18
3	7	9	14	18
3	8	9	14	18
3	7	9	14	18
3	8	9	14	18
3	8	9	14	18
3	8	9	14	18
3	8	9	14	18
3	8	9	14	18
3	8	10	15	18
3	8	10	15	19
3	6	10	13	17
3	6	10	13	17
3	8	9	14	18
3	8	9	14	18
3	8	10	14	18
3	8	9	14	18
3	8	9	14	18
3	8	10	15	19
3	6	9	13	17
3	8	9	14	18
3	8	9	14	18
3	8	9	14	18
3	8	10	15	19
3	8	10	15	19
3	8	10	15	19
3	8	9	15	18
3	8	10	15	18
3	8	10	15	19
3	7	9	14	18
3	8	10	15	18
3	8	10	15	18
3	8	10	15	18
3	7	10	15	19
3	8	10	15	19
3	8	10	14	18
3	8	9	14	18
3	8	10	14	18
3	8	10	14	18
3	8	11	14	19
3	8	10	15	19
3	8	9	14	18
3	7	10	15	18
3	8	10	15	19
3	8	10	15	19
3	7	9	14	18
3	8	10	15	18
3	8	10	15	18
3	8	10	15	19
3	8	11	15	19
3	8	10	15	19
3	8	10	15	19
3	8	11	15	19
3	8	11	16	19
3	8	9	14	18
3	8	10	15	18
3	8	11	15	19
3	8	10	15	19
3	8	11	15	19
3	8	11	15	19
3	8	10	15	19
4	8	10	15	18
4	8	11	15	19
4	8	10	15	19
4	8	10	15	19
4	8	11	15	19
4	8	10	14	18
4	8	9	14	18
4	8	9	14	18
4	8	10	15	18
4	8	10	15	18
4	8	11	15	19
4	8	11	15	19
4	8	10	15	19
4	8	11	15	19
4	8	11	16	19
4	8	10	14	18
4	8	11	15	19
4	8	11	15	19
4	8	10	15	18
4	8	10	15	19
4	8	11	15	19
4	8	10	15	19
4	8	10	14	18
4	8	11	15	19
4	8	11	15	19
4	8	11	15	19
4	6	11	16	19
4	8	11	15	19
4	8	11	15	19
5	8	12	15	19
5	8	12	15	19
5	6	12	15	19
5	8	11	15	19
5	8	12	15	19
5	6	11	15	19
